대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,17,B,팬들이 응원을 많이 해줘서 소통하는 재미로 지내고 있다고,
,,,,,,,,,,,,18,C,팬들이 레알 열심히 응원해줘서 멤버들도 힘이 나겠다,레알
,,,,,,,,,,,,19,A,그래! 멤버들도 힘낼 수 있을 것 같아,
,,,,,,,,,,,,20,B,다음 회차도 기대되는걸?,
,,,,,,,,,,,,21,C,응! 다음 회차도 더 재밌을 것 같아,
,,,,,,,,,,,,22,A,그러면 다음 회차 봐서 얘기하자!,
,,,,,,,,,,,,23,B,그래! 다음 회차 봐서 얘기하자!,
,,,,,,,,,,,,24,C,ㅇㅋㅇㅋ 다음 회차 봐서 얘기하자!,ㅇㅋ
131654,0095,여자,30,0112,남자,30,,,,콘텐츠 소비,월화드라마,1,A,오늘 반짝이는 워터멜론 본거야?,
,,,,,,,,,,,,2,B,응! 너무 재밌더라ㅋㅋ,
,,,,,,,,,,,,3,A,렬루? 나도 보고 싶은데 시간이 없어서 못 봤어,렬루
,,,,,,,,,,,,4,B,너무 아쉬워ㅠㅠ 다음에 꼭 봐야해!,
,,,,,,,,,,,,5,A,어떤 이야기인지 간단히 말해줄래?,
,,,,,,,,,,,,6,B,"김유진 기자가 쓴 기사에 따르면, 반짝이는 워터멜론은 코다 소년과 그 사람의 가족을 중심으로 그려진 따뜻한 이야기래",
,,,,,,,,,,,,7,A,코다 소년이 누구야?,
,,,,,,,,,,,,8,B,코다 소년은 려운이라는 배우가 연기하는 캐릭터야. 시간여행을 하면서 1995년에 있었던 일들을 같이 해결하게 되는거래,
,,,,,,,,,,,,9,A,시간여행이라니! 흥미로워 보이는데,
,,,,,,,,,,,,10,B,"그래! 은결이라는 캐릭터가 12살 때 가족들과 새로운 보금자리에 머무르게 되고, 집주인 아들에게 괴롭힘을 당하면서 성장하는 이야기래",
,,,,,,,,,,,,11,A,그러면 은결은 어떻게 괴롭힘을 이겨내는거야?,
,,,,,,,,,,,,12,B,"은결은 홀로 슬픔을 삭여야만 했는데, 유일하게 마음을 연 상대는 비바 뮤직의 할아버지였어. 할아버지가 음악적 재능을 깨우쳐주면서 은결은 감정을 표현할 수 있는 자신만의 언어를 발견하게 됐대",
,,,,,,,,,,,,13,A,와우내 그렇게 멋진 이야기였구나,와우내
,,,,,,,,,,,,14,B,"응! 그리고 은결은 18살이 되면서 낮에는 부모님의 자랑인 전교 1등 아들로, 밤에는 사람들의 환호를 받는 기타리스트로 이중생활을 하게 되는거래",
,,,,,,,,,,,,15,A,"머박, 렬루 멋있는 이야기인 것 같아!",머박;렬루
,,,,,,,,,,,,16,B,맞아! 나도 계속 보면서 은결의 성장과 이야기에 빠져들고 있어ㅎㅎ,
129948,0094,여자,30,0119,남자,30,,,,콘텐츠 소비,싱포골드,1,A,싱포골드 짜짜 재밌어!,짜짜
,,,,,,,,,,,,2,B,응! 나도 매주 기다려!,
,,,,,,,,,,,,3,A,저번 주에 '하모나이즈'랑 '헤리티지 매스콰이어' 대결 너무 재밌었지,
,,,,,,,,,,,,4,B,그래! 특히 '하모나이즈'의 '로시난테' 무대는 레알 머박이었어,머박;레알
,,,,,,,,,,,,5,A,맞아! 음악이 영상이 되는 늬낌이었지,늬낌
,,,,,,,,,,,,6,B,그리고 '헤리티지 매스콰이어'의 'Swing Baby'도 너무 멋있었어,
,,,,,,,,,,,,7,A,맞아! 무대가 끝나자마자 다시 돌려보고 싶을 만큼 새로웠고 매력적이었어,
,,,,,,,,,,,,8,B,한가인도 '헤리티지 매스콰이어'와 '하모나이즈'를 꼽았대,
,,,,,,,,,,,,9,A,한가인도 나랑 같은 생각이네,
,,,,,,,,,,,,10,B,근데 다음 주에는 어떤 팀들이 대결할까 궁금해,
,,,,,,,,,,,,11,A,나도 기대돼! 이번에도 재미있는 무대가 많을 것 같아,
,,,,,,,,,,,,12,B,그래! 싱포골드는 항상 놀라운 무대들로 가득해,
,,,,,,,,,,,,13,A,맞아! 그리고 매니저 실장인 한가인도 너무 멋지게 진행하더라,
,,,,,,,,,,,,14,B,한가인은 렬루다가 공감 요정이야,렬루다가
,,,,,,,,,,,,15,A,그래! 그 사람의 말에 항상 공감하게 돼,
,,,,,,,,,,,,16,B,싱포골드는 레알 중독성 있는 프로그램이야,레알
133452,0096,여자,30,0114,남자,30,,,,콘텐츠 소비,달짝지근해: 7510,1,A,ㅎㅇ~ 달짝지근해: 7510 영화 봄?,ㅎㅇ
,,,,,,,,,,,,2,B,응! 유해진과 김희선이 주인공이야. 웃긴 로맨틱 코미디였어!,
,,,,,,,,,,,,3,A,레알? 유해진은 항상 웃긴 캐릭터로 유명하잖아.,레알
,,,,,,,,,,,,4,B,맞아! 그리고 김희선도 너무 귀엽고 매력적이었어.,
,,,,,,,,,,,,5,A,영화 속 이야기가 어땠어? 재미있었어?,
,,,,,,,,,,,,6,B,과자밖에 모르는 제과 연구원이 긍정적인 마인드의 여자와 만나면서 인생이 바뀌는 이야기야. 렬루다가 재미있었어!,렬루다가
,,,,,,,,,,,,7,A,와우내 그러면 로맨스와 코미디가 같이 있는 영화인 거구나.,와우내
,,,,,,,,,,,,8,B,맞아! 로맨틱한 장면도 있고 웃긴 장면도 있어서 너무 좋았어.,
,,,,,,,,,,,,9,A,유해진과 김희선의 호흡이 어땠어? 잘 맞았을까?,
,,,,,,,,,,,,10,B,"짜짜 잘 맞았어! 유해진은 과자 연구원 역할을 너무 잘 소화했고, 김희선은 긍정적인 여자 역할을 완벽하게 표현했어.",짜짜
,,,,,,,,,,,,11,A,그러면 다른 배우들은 어땠어? 연기력이 좋았을까?,
,,,,,,,,,,,,12,B,다른 배우들도 연기력이 좋았어. 특히 차인표와 진선규의 캐릭터가 너무 재미있었어!,
,,,,,,,,,,,,13,A,한선화도 출연했었지? 그 사람의 역할은 어땠어?,
,,,,,,,,,,,,14,B,한선화는 예측불가한 성격의 캐릭터로 열연했어. 렬루 매력적이었어!,렬루
,,,,,,,,,,,,15,A,영화를 보고 나서 기분이 좋아지는 영화였구나.,
,,,,,,,,,,,,16,B,"응, 렬루로 기분 좋아지는 영화였어. 추천해!",렬루
221346,0001,남자,20,0150,여자,20,,,,콘텐츠 소비,K-POP,1,A,충공! 와! 유럽에서 K-POP 페스티벌이 열렸다고?,충공
,,,,,,,,,,,,2,B,응! 독일에서 'KPOP. FLEX'라는 페스티벌이 열렸어,
,,,,,,,,,,,,3,A,어떤 가수들이 출연했어?,
,,,,,,,,,,,,4,B,"카이, 몬스타엑스, 마마무, NCT DREAM, (여자)아이들 등 정상급 K-POP 그룹들이 출연했어",
,,,,,,,,,,,,5,A,"머박, 대세라니! 유럽에서도 K-POP이 인기가 많아진 건가봐!",머박
,,,,,,,,,,,,6,B,그래! 공연 후에는 수백 개의 영상이 올라왔어,
,,,,,,,,,,,,7,A,온라인에서도 화제가 됐다는 소리네,
,,,,,,,,,,,,8,B,"응, 'KPOP. FLEX' 관련 해시태그가 많이 돌았어",
,,,,,,,,,,,,9,A,"유럽 최초, 최대 페스티벌로 기록된 거라니 레게노다",레게노
,,,,,,,,,,,,10,B,그래! 독일은 유럽 핵심 국가 중 하나라고 하더라,
,,,,,,,,,,,,11,A,세계 금융의 허브라고도 하는 프랑크푸르트에서 열렸다니 신기하네,
,,,,,,,,,,,,12,B,마좌 프랑크푸르트는 독일의 중심 도시 중 하나래,마좌
,,,,,,,,,,,,13,A,나도 한 번 가보고 싶다! 유럽에서 K-POP 라이브 공연을 볼 수 있으면 좋겠다,
,,,,,,,,,,,,14,B,나도 그래! 유럽 팬들은 행운이었을 거야,
,,,,,,,,,,,,15,A,유럽에서 K-POP 인기가 계속해서 더 커지길 바래!,
,,,,,,,,,,,,16,B,맞아! K-POP의 가능성을 더욱 재확인한 페스티벌이었어,
020409,0077,여자,20,0104,남자,20,,,,콘텐츠 소비,홍김동전,1,A,라도X스테이씨 활약 머박!,머박
,,,,,,,,,,,,2,B,짜짜? 어디서 무슨 활약을 했는데?,짜짜
,,,,,,,,,,,,3,A,KBS 2TV '홍김동전'에서 최고였음 ㅋㅋ,
,,,,,,,,,,,,4,B,글쿠나! 라도와 스테이씨 멋있어,글쿠나
,,,,,,,,,,,,5,A,라도는 프로듀서로 출연했어,
,,,,,,,,,,,,6,B,와 멀쩡한 드레스 코드를 체크하고 웃음도 자아냈구나,
,,,,,,,,,,,,7,A,맞아! 그리고 박진영도 라도를 칭찬했어,
,,,,,,,,,,,,8,B,짜짜? 박진영도 인정하는구나,짜짜
,,,,,,,,,,,,9,A,응! 그리고 녹음 때는 긴장감을 조성했어,
,,,,,,,,,,,,10,B,화내도 되냐고 물어봤는데 웃으며 대답했겠지?,
,,,,,,,,,,,,11,A,맞아! 라도는 절대 화 안 내는 타입이야,
,,,,,,,,,,,,12,B,멋지다! 그리고 스테이씨도 응원하러 나왔다고?,
,,,,,,,,,,,,13,A,맞아! 주우재와 김숙의 녹음 때 응원하러 나왔어,
,,,,,,,,,,,,14,B,그러면 주우재는 어떤 반응을 보였어?,
,,,,,,,,,,,,15,A,"주우재는 얼어붙었고, 스테이씨의 노래를 칭찬했어",
,,,,,,,,,,,,16,B,와 박박이다! 홍김동전 너무 재밌어 보여,박박
271486,0001,남자,20,0146,여자,20,,,,콘텐츠 소비,킴 카다시안,1,A,"어, 킴 카다시안이 법원에서 배심원으로 활동했대!",
,,,,,,,,,,,,2,B,렬루? 대체 어떻게 그런 일이 생겼는데?,렬루
,,,,,,,,,,,,3,A,"사업가로도 활동하고 있는데, 변호사 시험을 준비 중이더라고.",
,,,,,,,,,,,,4,B,와 렬루 다재다능하네. 그런데 배심원으로 참여한 이유가 뭘까?,렬루
,,,,,,,,,,,,5,A,"카다시안은 형사, 사법 개혁에 열정을 가지고 부당하게 대우받는 사람들을 옹호하고 싶다고 했어.",
,,,,,,,,,,,,6,B,대단한 목표를 가지고 있군. 그리고 시험도 합격했다고 들음?,
,,,,,,,,,,,,7,A,"응, 베이비 바 시험에 통과해서 캘리포니아주 변호사 시험에 도전하고 있대.",
,,,,,,,,,,,,8,B,"베이비 바 시험은 합격률이 20%에 불과한 시험이라던데, 대단한 열정을 보여주는구나.",
,,,,,,,,,,,,9,A,ㅇㅋㅇㅋ 그런데 로스쿨에 다니지 않았기 때문에 합격해도 1~2년간 법률 견습을 해야 한다고 해.,ㅇㅋ
,,,,,,,,,,,,10,B,그정도의 어려움을 감수하면서도 도전하는 모습이 멋지다.,
,,,,,,,,,,,,11,A,맞아 카다시안은 언젠가 성공적인 로펌을 만들고 싶다고도 했어.,
,,,,,,,,,,,,12,B,"로버트 카다시안 변호사의 딸로 태어났다니, 변호사로서의 자부심도 있을 것 같아.",
,,,,,,,,,,,,13,A,그럴만하겠지. 아버지가 OJ 심슨의 변호사로 알려져 있으니까.,
,,,,,,,,,,,,14,B,맞아 그것도 한 번 주목받았었던 사건이었지.,
,,,,,,,,,,,,15,A,마좌 카다시안 가족은 변호사의 가문이라던데 여러모로 놀라운 가족이네.,마좌
,,,,,,,,,,,,16,B,레알로 대단한 가족이야. 앞으로 카다시안의 변호사 활동에도 많은 기대를 해봐야겠다.,레알
176697,0105,남자,30,0105,남자,30,,,,콘텐츠 소비,유튜브,1,A,와 유튜브 유명한 사람 나왔더라,
,,,,,,,,,,,,2,B,ㄹㅇ? 누구야?,ㄹㅇ
,,,,,,,,,,,,3,A,푸릉_렘군이라는 유튜버야,
,,,,,,,,,,,,4,B,"이름 좀 이상한데, 뭐하는 사람이지?",
,,,,,,,,,,,,5,A,"부동산 전문가래, 유튜브에서 팁 같은 거 알려주는 것 같아",
,,,,,,,,,,,,6,B,그런 거 유튜브에서 볼만하네ㅋㅋ,
,,,,,,,,,,,,7,A,웅웅 그리고 작가이기도 하더라,웅웅
,,,,,,,,,,,,8,B,베스트셀러 작가라니 대단한 사람인가보다,
,,,,,,,,,,,,9,A,마좌 그리고 직장인들의 멘토로도 활동하고 있대,마좌
,,,,,,,,,,,,10,B,진짜 다양한 분야에서 활동하네,
,,,,,,,,,,,,11,A,맞아 그래서 이번에 자기계발서를 출간했더라,
,,,,,,,,,,,,12,B,아웃풋 법칙이라는 책 말이야?,
,,,,,,,,,,,,13,A,ㅇㅋㅇㅋ 그 책이야,ㅇㅋ
,,,,,,,,,,,,14,B,"꼭 읽어봐야겠다, 자기계발에 도움이 될 거 같아",
,,,,,,,,,,,,15,A,웅웅 나도 사서 공부해봐야지,웅웅
,,,,,,,,,,,,16,B,그러자면 나도 같이 사서 함께 공부하자,
079458,0091,여자,30,0111,남자,30,,,,콘텐츠 소비,음악,1,A,오늘은 음악 얘기 좀 해볼까?,
,,,,,,,,,,,,2,B,굿굿! 어떤 음악에 대해 얘기할까?,
,,,,,,,,,,,,3,A,요즘에는 어떤 가수가 인기 있어?,
,,,,,,,,,,,,4,B,지난해에 '지나오다'로 음원 차트에서 '깜짝 1위'를 한 닐로가 인기가 많아!,
,,,,,,,,,,,,5,A,그래? 그러면 그 사람의 음악을 들어봐야겠다.,
,,,,,,,,,,,,6,B,색안경을 끼지 않고 1번부터 5번 트랙까지 쭉 들어주셨으면 좋겠어요.,
,,,,,,,,,,,,7,A,그러면 그 사람의 음악은 어떤 스타일이야?,
,,,,,,,,,,,,8,B,닐로는 갬성적인 발라드를 주로 선보이는 가수야.,갬성
,,,,,,,,,,,,9,A,갬성적인 발라드가 굿굿! 그 사람의 음악은 어떤 이야기를 담고 있어?,갬성
,,,,,,,,,,,,10,B,"그 사람의 음악은 사랑의 감정 변화에 따라 이별의 아픔, 체념, 그리고 다시 설렘이 찾아오기까지 다양한 이야기를 담고 있어.",
,,,,,,,,,,,,11,A,글쿠나. 그러면 그 사람의 새 앨범은 언제 나오는 거야?,글쿠나
,,,,,,,,,,,,12,B,16일에 두 번째 미니앨범 '어바웃 미'가 발매돼!,
,,,,,,,,,,,,13,A,타이틀곡은 뭐임?,
,,,,,,,,,,,,14,B,"비가 내린다'야. 그 외에도 '같았으면', '알면서', '곁' 등 다섯 트랙이 수록돼 있어.",
,,,,,,,,,,,,15,A,음악을 좋아하는 사람들에게는 기대되는 앨범이겠다.,
,,,,,,,,,,,,16,B,"응, 그렇지. 닐로의 음악은 렬루다가 감동적이야!",렬루다가
224171,0001,남자,20,0147,여자,20,,,,콘텐츠 소비,고아라,1,A,"앗, '도도솔솔라라솔' 드라마 재밌어 보여!",
,,,,,,,,,,,,2,B,ㅋㅋ 나도 기대돼!,
,,,,,,,,,,,,3,A,고아라 연기 잘하니까,
,,,,,,,,,,,,4,B,응! 특히 로맨틱 코미디는 잘 어울릴 것 같아,
,,,,,,,,,,,,5,A,그래! 그리고 김민경 감독이 연출해서 더 기대되는 거 같아,
,,,,,,,,,,,,6,B,오! 그 감독 다른 드라마도 잘 했었지?,
,,,,,,,,,,,,7,A,맞아! '최고의 이혼'을 함께 연출했어,
,,,,,,,,,,,,8,B,그 드라마도 재밌었는데. 오지영 작가도 좋아!,
,,,,,,,,,,,,9,A,맞아 맞아! 작가도 신났어,
,,,,,,,,,,,,10,B,이번 드라마도 재미있는 이야기일 것 같아,
,,,,,,,,,,,,11,A,그래서 고아라가 연기하는 '구라라' 캐릭터는 어떤 거지?,
,,,,,,,,,,,,12,B,구라라는 긍정적인 성격의 피아니스트래,
,,,,,,,,,,,,13,A,피아노학원 라라랜드에서 어떤 이야기가 벌어질지 궁금해!,
,,,,,,,,,,,,14,B,나도 그러면. 10월 7일 기대할게!,
,,,,,,,,,,,,15,A,ㅇㅋㅇㅋ 함께 볼까?,ㅇㅋ
,,,,,,,,,,,,16,B,굿굿! 같이 보면 더 재밌을 거야!,
271428,0001,남자,20,0149,여자,20,,,,콘텐츠 소비,스트릿 우먼 파이터2,1,A,스트파2 어제 봄?,
,,,,,,,,,,,,2,B,응! 오늘 8회 방송됐지,
,,,,,,,,,,,,3,A,파이널 미션이 시작됐대,
,,,,,,,,,,,,4,B,와 짜짜 기대돼!,짜짜
,,,,,,,,,,,,5,A,이번에 배틀 퍼포먼스 미션도 있대,
,,,,,,,,,,,,6,B,저번 주에 대진표가 공개됐잖아,
,,,,,,,,,,,,7,A,그래! 잼 리퍼블릭 vs 레이디바운스였지,
,,,,,,,,,,,,8,B,레이디바운스 진짜 멋있었어,
,,,,,,,,,,,,9,A,원밀리언과 마네퀸도 대결했는데,
,,,,,,,,,,,,10,B,그래! 원밀리언의 SexyBack 무대는 머박이었어,머박
,,,,,,,,,,,,11,A,마네퀸의 왁킹도 박박이었지,박박
,,,,,,,,,,,,12,B,리아킴도 너무 감탄했더라,
,,,,,,,,,,,,13,A,오늘은 사생결단이야,
,,,,,,,,,,,,14,B,파이널 진출 팀이 결정되는 거지?,
,,,,,,,,,,,,15,A,맞아! 귀찮다 그런 거 없이 봐야지,
,,,,,,,,,,,,16,B,그래! 오늘 10시에 방송돼!,
021838,0078,여자,20,0103,남자,20,,,,콘텐츠 소비,남남,1,A,오늘 남남 첫 방송이야! 기대돼 ㅋㅋ,
,,,,,,,,,,,,2,B,응! 전혜진 선배님 연기 잘 할 것 같아!,
,,,,,,,,,,,,3,A,너무 기대돼서 잠 못 자겠어 ㅠㅠ,
,,,,,,,,,,,,4,B,나도 그래! 오늘 밤은 잠 못 자고 볼 거야,
,,,,,,,,,,,,5,A,남남에서 전혜진 선배님은 엄마 역할이야,
,,,,,,,,,,,,6,B,그래서 최수영은 딸 역할이라는 거지?,
,,,,,,,,,,,,7,A,맞아! 그리고 박성훈은 단속 팀장 역할이래,
,,,,,,,,,,,,8,B,안재욱 선배님은 의문의 남자 박진홍 역할이네,
,,,,,,,,,,,,9,A,드라마 속에서 모두의 캐릭터가 너무 매력적이야,
,,,,,,,,,,,,10,B,응! 이 드라마는 리얼한 모녀 이야기를 그리는 거라고 들었어,
,,,,,,,,,,,,11,A,그래서 모녀로 만날 줄 상상도 못했다고 하더라,
,,,,,,,,,,,,12,B,렬루? 신기하다! 이 드라마는 기대가 커지는구나,렬루
,,,,,,,,,,,,13,A,그래서 오늘 첫 방송 후에 어떤 이야기들이 나올지 궁금해,
,,,,,,,,,,,,14,B,나도 그래! 이야기가 너무 재미있을 것 같아,
,,,,,,,,,,,,15,A,오늘 밤은 '남남' 시청으로 기분 좋게 잠들 것 같아!,
,,,,,,,,,,,,16,B,나도 그래! 오늘 밤은 '남남'으로 행복한 꿈을 꾸겠어!,
031836,0084,남자,20,0150,여자,20,,,,콘텐츠 소비,비타500,1,A,비타500 광고 재밌어?,
,,,,,,,,,,,,2,B,ㅋㅋ 비타500 광고는 항상 재밌어!,
,,,,,,,,,,,,3,A,나도 광고 출연해보고 싶어!,
,,,,,,,,,,,,4,B,레알? 어떤 광고에 나오고 싶어?,레알
,,,,,,,,,,,,5,A,음... 차별없는 세상 광고에 나오고 싶어!,
,,,,,,,,,,,,6,B,그 광고는 렬루 좋은 메시지를 전달하더라,렬루
,,,,,,,,,,,,7,A,맞아! 비타500과 같이하는 순간들을 소개하면서 차별 없는 세상을 꿈꿀 수 있어,
,,,,,,,,,,,,8,B,저번에 청각장애인 육아맘 광고 보고 감동받았어,
,,,,,,,,,,,,9,A,나도 그 광고 보면서 따뜻한 마음이 느껴져서 좋았어,
,,,,,,,,,,,,10,B,비타500은 광고뿐만 아니라 제품 자체도 좋아서 자주 마셔,
,,,,,,,,,,,,11,A,나도 비타500은 항상 냉장고에 챙겨놓고 마셔,
,,,,,,,,,,,,12,B,비타민C가 많이 들어있어서 건강에도 좋아,
,,,,,,,,,,,,13,A,맞아! 비타민C가 부족한 날엔 비타500을 마시면 활력이 생기더라,
,,,,,,,,,,,,14,B,그렇담 나도 비타500을 매일 마셔야겠어!,
,,,,,,,,,,,,15,A,추천해! 비타500은 렬루 굿굿!,렬루
,,,,,,,,,,,,16,B,알겠어! 내일부터 비타500을 마시면서 활력 넘치는 하루를 보낼게!,
083865,0094,여자,30,0117,남자,30,,,,콘텐츠 소비,장만옥,1,A,영화 '첨밀밀' 장만옥 얘기해봐,
,,,,,,,,,,,,2,B,장만옥은 영화에서 아름다움을 보여줬어,
,,,,,,,,,,,,3,A,그래서 그 사람의 다른 대표작도 봄?,
,,,,,,,,,,,,4,B,그 사람의 대표작은 '화양연화' '열혈남아' '아비정전' '첨밀밀'이야,
,,,,,,,,,,,,5,A,장만옥은 유명한 배우일까?,
,,,,,,,,,,,,6,B,그 사람은 칸 영화제 여우주연상도 받았어,
,,,,,,,,,,,,7,A,렬루다가? 그 사람의 수상작은 무엇이었어?,렬루다가
,,,,,,,,,,,,8,B,클린'이라는 작품이야,
,,,,,,,,,,,,9,A,그 작품은 잘 알려진 작품은 아닌 것 같아,
,,,,,,,,,,,,10,B,나도 장만옥에 눈길이 간 건 '첨밀밀'과 '화양연화'를 보고 나서야,
,,,,,,,,,,,,11,A,그래? '화양연화'에 대해서는 어느 정도 언급되었나봐,
,,,,,,,,,,,,12,B,최근에 '화양연화 리마스터링'을 재상영한다고 하더라,
,,,,,,,,,,,,13,A,그 영화는 사랑과 아름다움을 그린 로맨스라고 하던데,
,,,,,,,,,,,,14,B,그렇지. 사랑에 빠져들 수밖에 없는 두 사람의 이야기야,
,,,,,,,,,,,,15,A,장만옥의 연기를 더 알아봐야겠다,
,,,,,,,,,,,,16,B,그래. 그 사람의 다른 작품도 추천해줄게,
133444,0096,여자,30,0118,남자,30,,,,콘텐츠 소비,유노윤호,1,A,ㅎㅇ~ 유노윤호 새 앨범에 대해 들어 봤어?,ㅎㅇ
,,,,,,,,,,,,2,B,응! 유노윤호 레알 멋지다 ㅎㅎ,레알
,,,,,,,,,,,,3,A,맞아! 그리고 쇼트 필름도 공개한다더라,
,,,,,,,,,,,,4,B,충공! 와! 진짜 기대돼 ㅠㅠ,충공
,,,,,,,,,,,,5,A,나도 그렇게 생각해! 유노윤호 레알 대박이야,대박;레알
,,,,,,,,,,,,6,B,앨범에는 어떤 노래가 있을까?,
,,,,,,,,,,,,7,A,타이틀곡은 'Vuja De(뷔자데)'라고 해,
,,,,,,,,,,,,8,B,뷔자데? 신기한 이름이네,
,,,,,,,,,,,,9,A,응! 가사도 꿈과 영혼에 대한 이야기래,
,,,,,,,,,,,,10,B,충공! 와! 유노윤호 진짜 다재다능하다,충공
,,,,,,,,,,,,11,A,맞아! 그리고 쇼트 필름도 넥서스라고 해,
,,,,,,,,,,,,12,B,넥서스? 뮤직비디오랑 영화가 합쳐진 거야?,
,,,,,,,,,,,,13,A,그렇대! 레알 기대돼 ㅋㅋ,레알
,,,,,,,,,,,,14,B,나도 그래! 유노윤호 진짜 머박이야 ㅎㅎ,머박
,,,,,,,,,,,,15,A,앨범 발매 기념 기자간담회도 진행됐대,
,,,,,,,,,,,,16,B,충공! 와! 유노윤호 직접 아이디어에 참여한 거라니 멋지네,충공
197936,0000,남자,10,0150,여자,20,,,,콘텐츠 소비,쿠팡플레이 '안나',1,A,쿠팡플레이 '안나' 드라마 봄?,
,,,,,,,,,,,,2,B,"응, 근데 '안나'가 무단 편집되서 문제가 됐대",
,,,,,,,,,,,,3,A,레알? 감독이 법적 대응할 거라던데,레알
,,,,,,,,,,,,4,B,그래서 쿠팡플레이가 사과하고 재발 방지 약속하라고 요구하는 거야,
